Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Rv1587c	Rv1587c	886303	O06603	RVBD_1587c	hypothetical protein	M1.3
Rv1588c	Rv1588c	886325	P9WLT9	RVBD_1588c	hypothetical protein	Basal machinery
Rv1590	Rv1590	886292	P9WLT7	RVBD_1590	hypothetical protein	M1.7
Rv1592c	Rv1592c	886287	P9WK89	RVBD_1592c	hypothetical protein	Basal machinery
Rv1615	Rv1615	885499	O06132	RVBD_1615	membrane protein	Basal machinery
Rv1619	Rv1619	885509	O06136	RVBD_1619	hypothetical protein	Basal machinery
Rv1624c	Rv1624c	885135	O06141	RVBD_1624c	membrane protein	Basal machinery
Rv1628c	Rv1628c	885289	O06145	RVBD_1628c	hypothetical protein	Basal machinery
Rv1632c	Rv1632c	885649	O06149	RVBD_1632c	hypothetical protein	Basal machinery
Rv1634	Rv1634	885115	P9WJX3	RVBD_1634	multidrug-efflux transporter	Basal machinery
Rv1635c	Rv1635c	885100	O06152	RVBD_1635c	mannosyltransferase	M26
Rv1636	Rv1636	885473	P9WFC9	RVBD_1636,TB15.3	iron-regulated universal stress protein	M26
Rv1637c	Rv1637c	885132	O06154	RVBD_1637c	hypothetical protein	Basal machinery
Rv1638A	Rv1638A	3205103	L7N673	RVBD_1638A	hypothetical protein	Basal machinery
Rv1639c	Rv1639c	885642	P94973	RVBD_1639c	hypothetical protein	Basal machinery
Rv1645c	Rv1645c	885287	P94979	RVBD_1645c	hypothetical protein	Basal machinery
Rv1648	Rv1648	885065	P94983	RVBD_1648	transmembrane protein	Basal machinery
Rv1669	Rv1669	885701	O86371	RVBD_1669	hypothetical protein	M22
Rv1670	Rv1670	885702	O53917	RVBD_1670	hypothetical protein	M22
Rv1671	Rv1671	885698	O53918	RVBD_1671	membrane protein	Basal machinery
Rv1672c	Rv1672c	885700	O53919	RVBD_1672c	integral membrane transport protein	Basal machinery
Rv1674c	Rv1674c	885696	O53921	RVBD_1674c	transcriptional regulator	M2
Rv1676	Rv1676	885694	O53923	RVBD_1676	hypothetical protein	M22
Rv1682	Rv1682	885686	O33184	RVBD_1682	hypothetical protein	Basal machinery
Rv1683	Rv1683	885687	O33185	RVBD_1683	bifunctional long-chain acyl-CoA synthase/lipase	Basal machinery
Rv1684	Rv1684	885680	O33186	RVBD_1684	hypothetical protein	Basal machinery
Rv1686c	Rv1686c	885672	O33188	RVBD_1686c	ABC transporter permease	Basal machinery
Rv1687c	Rv1687c	885678	O33189	RVBD_1687c	ABC transporter ATP-binding protein	Basal machinery
Rv1688	Rv1688	885679	P9WJP7	RVBD_1688,mpg	3-methyladenine DNA glycosylase	Basal machinery
Rv1691	Rv1691	885665	O33193	RVBD_1691	hypothetical protein	Basal machinery
Rv1702c	Rv1702c	885061	P9WLT3	RVBD_1702c	hypothetical protein	Basal machinery
Rv1706A	Rv1706A	3205102	Q79FL4	RVBD_1706A	hypothetical protein	Basal machinery
Rv1707	Rv1707	885073	O33206	RVBD_1707	transmembrane protein	Basal machinery
Rv1708	Rv1708	885082	P9WLT1	RVBD_1708	initiation inhibitor protein	Basal machinery
Rv1714	Rv1714	885159	P9WGQ3	RVBD_1714	oxidoreductase	Basal machinery
Rv1718	Rv1718	885169	P71976	RVBD_1718	hypothetical protein	Basal machinery
Rv1719	Rv1719	885170	P71977	RVBD_1719	transcriptional regulator	Global regulator
Rv1724c	Rv1724c	885189	P71982	RVBD_1724c	hypothetical protein	Basal machinery
Rv1725c	Rv1725c	885191	P71983	RVBD_1725c	hypothetical protein	Basal machinery
Rv1726	Rv1726	885192	P71984	RVBD_1726	oxidoreductase	Basal machinery
Rv1727	Rv1727	887422	P71985	RVBD_1727	hypothetical protein	Basal machinery
Rv1728c	Rv1728c	885193	P71986	RVBD_1728c	hypothetical protein	Basal machinery
Rv1729c	Rv1729c	885194	P9WFH9	RVBD_1729c	S-adenosylmethionine-dependent methyltransferase	Basal machinery
Rv1730c	Rv1730c	885202	P71988	RVBD_1730c	penicillin-binding protein	Basal machinery
Rv1734c	Rv1734c	885212	P9WLS7	RVBD_1734c	hypothetical protein	Basal machinery
Rv1735c	Rv1735c	885216	P9WLS5	RVBD_1735c	membrane protein	Basal machinery
Rv1738	Rv1738	885215	P9WLS3	RVBD_1738	hypothetical protein	Basal machinery
Rv1739c	Rv1739c	887208	P9WGF7	RVBD_1739c	sulfate ABC transporter permease	Basal machinery
Rv1742	Rv1742	885234	O33271	RVBD_1742	hypothetical protein	Basal machinery
Rv1747	Rv1747	885311	O65934	RVBD_1747	ABC transporter ATP-binding protein/permease	Basal machinery
Rv1751	Rv1751	885489	O65936	RVBD_1751	oxidoreductase	Basal machinery
Rv1754c	Rv1754c	885467	O06790	RVBD_1754c	hypothetical protein	Basal machinery
Rv1756c	Rv1756c					Basal machinery
Rv1760	Rv1760	885556	P9WKB9	RVBD_1760	diacylglycerol acyltransferase	Basal machinery
Rv1762c	Rv1762c	885373	O06797	RVBD_1762c	hypothetical protein	Basal machinery
Rv1765A	Rv1765A		Q79FL0	RVBD_1765A		Basal machinery
Rv1765c	Rv1765c	885256	O06798	RVBD_1765c	hypothetical protein	Basal machinery
Rv1766	Rv1766	885427	O06799	RVBD_1766	hypothetical protein	Basal machinery
Rv1770	Rv1770	885415	O06803	RVBD_1770	hypothetical protein	Basal machinery
Rv1772	Rv1772	885920	O06805	RVBD_1772	hypothetical protein	Basal machinery
Rv1773c	Rv1773c	885342	O06806	RVBD_1773c	transcriptional regulator	M1.5
Rv1774	Rv1774	885367	O33177	RVBD_1774	oxidoreductase	M1.5
Rv1776c	Rv1776c	885821	O33179	RVBD_1776c	transcriptional regulator	Global regulator
Rv1780	Rv1780	885851	O53931	RVBD_1780	hypothetical protein	Basal machinery
Rv1786	Rv1786	885846	O53937	RVBD_1786	ferredoxin	Basal machinery
Rv1792	Rv1792	886252		esxM		Basal machinery
Rv1804c	Rv1804c	885588	O53953	RVBD_1804c	hypothetical protein	Basal machinery
Rv1805c	Rv1805c	885470	O53954	RVBD_1805c	hypothetical protein	Basal machinery
Rv1810	Rv1810	885591	O07222	RVBD_1810	hypothetical protein	Basal machinery
Rv1812c	Rv1812c	885487	P9WJJ1	RVBD_1812c	dehydrogenase	Basal machinery
Rv1813c	Rv1813c	885546	P9WLS1	RVBD_1813c	hypothetical protein	Basal machinery
Rv1815	Rv1815					Basal machinery
