PreSplitGroup,Group,Node
2,2,sir
2,2,uppP
2,2,vapC12
2,2,wecA
2,2,whiB2
2,2,whiB4
3,3,Rv0079
3,3,Rv0569
3,3,Rv0571c
3,3,Rv0572c
3,3,Rv1734c
3,3,Rv1738
3,3,Rv1996
3,3,Rv2005c
3,3,Rv2006
3,3,Rv2623
3,3,Rv2628
3,3,Rv2629
3,3,Rv3126c
3,3,Rv3131
3,3,Rv3134c
3,3,acg
3,3,ctpF
3,3,cut2
3,3,devR
3,3,fdxA
3,3,hrp1
3,3,hspX
3,3,nrdZ
3,3,ppe49
3,3,tgs1
4,4,Rv0078
4,4,Rv0318c
4,4,Rv0324
4,4,Rv1987
4,4,Rv3706c
4,4,Rv3779
4,4,amiA2
4,4,chp2
4,4,glyA2
4,4,lppW
4,4,recO
3,5,PE17
3,5,Rv1353c
3,5,Rv1674c
3,5,Rv3631
3,5,bioF2
3,5,hsaA
3,5,mtcA2
3,5,pks6
3,5,trcR
3,6,blaI
3,6,rpsF
7,7,Rv1167c
7,7,espE
8,8,argC
8,8,argR
9,9,Rv1287
9,9,cysD
11,10,vapB15
11,10,vapC15
2,11,Rv0238
1,12,etfB
3,13,Rv3030
1,14,fadA2
3,15,fadE24
1,16,Rv0302
2,17,embA
2,18,Rv0807
2,19,Rv0093c
2,20,gmdA
2,21,ceoB
2,22,kstR
12,23,vapB42
13,24,vapB40
2,25,ctpD
2,26,Rv3778c
2,27,whiB3
2,28,Rv3167c
14,29,Rv0330c
3,30,whiA
1,31,plcB
1,32,Rv1456c
15,33,uvrD2
1,34,Rv3604c
4,35,fadE2
1,36,ispE
2,37,dosT
2,38,rpiB
2,39,fadD14
2,40,secA1
2,41,Rv2469c
2,42,sapM
2,43,Rv2731
2,44,Rv3717
2,45,glbO
2,46,trmB
2,47,nei1
2,48,Rv2337c
2,49,Rv1868
2,50,vapB37
2,51,Rv1977
2,52,glgC
2,53,Rv0386
2,54,Rv3179
2,55,ilvG
2,56,caeA
2,57,Rv2434c
2,58,Rv3636
2,59,Rv0034
2,60,Rv1889c
2,61,Rv2957
6,62,pcp
2,63,Rv1587c
2,64,Rv1435c
2,65,PE_PGRS7
2,66,Rv3406
2,67,Rv3902c
2,68,recF
2,69,Rv1356c
2,70,rpsT
2,71,pabB
5,72,cmtR
2,73,dnaB
2,74,Rv1910c
2,75,whiB1
2,76,Rv0135c
1,77,Rv2204c
1,78,mmpL9
1,79,cyp138
1,80,Rv0520
1,81,Rv3400
1,82,Rv1919c
1,83,Rv1815
1,84,Rv0749A
2,85,Rv0274
2,86,proX
16,87,Rv1359
3,88,dnaG
1,89,Rv1776c
2,90,fgd1
